Gene	Graph	Position
A_JCVI_33904	1	1
A_JCVI_27430	1	2
A_JCVI_26834	1	3
A_JCVI_22505	1	4
A_JCVI_4601	1	5
A_ES948501	1	6
A_JCVI_36813	1	7
A_EV038543	1	8
A_EV201409	1	9
A_EV201497	1	10
A_EE485914	1	11
A_JCVI_15549	1	12
A_JCVI_29717	1	13
A_EX099846	1	14
A_JCVI_38695	1	15
A_JCVI_8919	1	16
A_JCVI_13972	1	17
A_JCVI_13109	1	18
A_EE563599	1	19
A_JCVI_1442	1	20
A_ES942733	1	21
A_JCVI_26929	1	22
A_JCVI_27639	1	23
A_JCVI_26409	1	24
A_ES898516	1	25
A_JCVI_39906	1	26
A_EV221166	1	27
A_EX137775	1	28
A_EV220905	1	29
A_JCVI_37743	1	30
A_JCVI_29614	1	31
A_JCVI_35189	1	32
A_EV089606	1	33
A_EV116472	1	34
A_EV116384	1	35
A_EV115235	1	36
A_EV158140	1	37
A_JCVI_11807	1	38
A_JCVI_16910	1	39
A_EX099045	1	40
A_JCVI_36197	1	41
A_JCVI_17820	1	42
A_JCVI_16598	1	43
A_JCVI_22517	1	44
A_EV092897	1	45
A_JCVI_10983	1	46
A_EX021531	1	47
A_JCVI_18822	1	48
A_EV070410	1	49
A_RC_EV070410	1	50
A_JCVI_14874	1	51
A_EV072164	1	52
A_EV123291	1	53
A_EV123380	1	54
A_JCVI_25544	1	55
A_EV123221	1	56
A_JCVI_37612	1	57
A_CN729383	1	58
A_EV077792	1	59
A_EX059320	1	60
A_EX061058	1	61
A_JCVI_29543	1	62
A_JCVI_19868	1	63
A_EE453596	1	64
A_EX076778	1	65
A_JCVI_33793	1	66
A_JCVI_29919	1	67
A_JCVI_32876	1	68
A_EH415894	1	69
A_CD835579	1	70
A_JCVI_21158	1	71
A_JCVI_24265	1	72
A_CK991360	1	73
A_JCVI_20873	1	74
A_JCVI_10792	1	75
A_JCVI_42496	1	76
A_JCVI_8620	1	77
A_EV141258	1	78
A_JCVI_31561	1	79
A_JCVI_11838	1	80
A_JCVI_34494	1	81
A_JCVI_14868	1	82
A_JCVI_39267	1	83
A_EV198667	1	84
A_JCVI_35888	1	85
A_JCVI_25512	1	86
A_EV115878	1	87
A_JCVI_13404	1	88
A_EX062166	1	89
A_EV115803	1	90
A_EV222227	1	91
A_JCVI_12945	1	92
A_JCVI_27735	1	93
A_JCVI_5886	1	94
A_JCVI_21884	1	95
A_JCVI_12052	1	96
A_JCVI_37057	1	97
A_JCVI_24244	1	98
A_EE415147	1	99
A_JCVI_41497	1	100
A_EL593100	1	101
A_EX086266	1	102
A_JCVI_27990	1	103
A_JCVI_37859	1	104
A_EX124946	1	105
A_EV211189	1	106
A_ES993537	1	107
A_JCVI_515	1	108
A_JCVI_26764	1	109
A_EE446718	1	110
A_JCVI_18685	1	111
A_EX134835	1	112
A_JCVI_38999	1	113
A_JCVI_13618	1	114
A_JCVI_17389	1	115
A_EE392369	1	116
A_RC_EE392369	1	117
A_JCVI_3893	1	118
A_EV044138	1	119
A_EV193324	1	120
A_JCVI_22706	1	121
A_JCVI_26682	1	122
A_JCVI_37993	1	123
A_EH418918	1	124
A_EX118776	1	125
A_JCVI_14796	1	126
A_JCVI_13214	1	127
A_CN731218	1	128
A_JCVI_28773	1	129
A_JCVI_33827	1	130
A_CX194875	1	131
A_EV088787	1	132
A_EE556442	1	133
A_RC_EE556442	1	134
A_CD835510	1	135
A_RC_CD835510	1	136
A_JCVI_3018	1	137
A_JCVI_24236	1	138
A_JCVI_17453	1	139
A_JCVI_1286	1	140
A_JCVI_14791	1	141
A_EX107105	1	142
A_EE456438	1	143
A_JCVI_22845	1	144
A_EV165431	1	145
A_JCVI_42200	1	146
A_JCVI_13996	1	147
A_JCVI_5872	1	148
A_JCVI_673	1	149
A_JCVI_30678	1	150
A_CD826789	1	151
A_CD815015	1	152
A_EE440025	1	153
A_JCVI_27205	1	154
A_JCVI_7521	1	155
A_JCVI_34329	1	156
A_EE477105	1	157
A_ES989998	1	158
A_JCVI_23211	1	159
A_EV183049	1	160
A_EX120841	1	161
A_JCVI_30132	1	162
A_JCVI_15068	1	163
A_ES933729	1	164
A_DY027867	1	165
A_JCVI_7585	1	166
A_EV201316	1	167
A_JCVI_29835	1	168
A_JCVI_4374	1	169
A_EV143804	1	170
A_EX092360	1	171
A_EE530658	1	172
A_JCVI_15882	1	173
A_JCVI_11164	1	174
A_JCVI_8294	1	175
A_JCVI_25091	1	176
A_JCVI_30484	1	177
A_JCVI_26234	1	178
A_EV109268	1	179
A_EV205016	1	180
A_JCVI_19883	1	181
A_JCVI_1842	1	182
A_JCVI_34062	1	183
A_JCVI_7131	1	184
A_JCVI_21687	1	185
A_EV124682	1	186
A_CD813561	1	187
A_JCVI_36819	1	188
A_JCVI_25156	1	189
A_JCVI_13294	1	190
A_CN727314	1	191
A_JCVI_26554	1	192
A_EE413417	1	193
A_EV022691	1	194
A_JCVI_21177	1	195
A_ES967863	1	196
A_RC_ES967863	1	197
A_JCVI_9872	1	198
A_JCVI_40083	1	199
A_JCVI_819	1	200
A_EV108471	1	201
A_JCVI_1405	1	202
A_JCVI_2682	1	203
A_JCVI_35150	1	204
A_JCVI_14931	1	205
A_JCVI_21995	1	206
A_JCVI_13013	1	207
A_JCVI_32576	1	208
A_CV432889	1	209
A_EV221784	1	210
A_EV221919	1	211
A_JCVI_12359	1	212
A_EE441752	1	213
A_ES942457	1	214
A_JCVI_30398	1	215
A_JCVI_12068	1	216
A_JCVI_3040	1	217
A_EE527184	1	218
A_JCVI_14493	1	219
A_CX266372	1	220
A_CX272125	1	221
A_JCVI_15741	1	222
A_JCVI_13982	1	223
A_EE467765	1	224
A_EE542334	1	225
A_JCVI_33225	1	226
A_JCVI_41297	1	227
A_JCVI_19311	1	228
A_EE439833	1	229
A_JCVI_34336	1	230
A_JCVI_11517	1	231
A_JCVI_40886	1	232
A_EE534409	1	233
A_JCVI_26121	1	234
A_JCVI_12892	1	235
A_EE533182	1	236
A_EV009068	1	237
A_JCVI_20810	1	238
A_JCVI_9601	1	239
A_JCVI_1630	1	240
A_DY019003	1	241
A_EE534560	1	242
A_JCVI_40782	1	243
A_RC_JCVI_40782	1	244
A_JCVI_29404	1	245
A_EX023097	1	246
A_JCVI_40978	1	247
A_JCVI_26040	1	248
A_EV038168	1	249
A_JCVI_8267	1	250
A_JCVI_10332	1	251
A_JCVI_7174	1	252
A_JCVI_16267	1	253
A_JCVI_23566	1	254
A_JCVI_1868	1	255
A_JCVI_1183	1	256
A_JCVI_18109	1	257
A_CX191794	1	258
A_JCVI_37983	1	259
A_EE410294	1	260
A_JCVI_16914	1	261
A_EV110715	1	262
A_EV110855	1	263
A_JCVI_3324	1	264
A_DW998417	1	265
A_JCVI_28474	1	266
A_JCVI_16259	1	267
A_EE547823	1	268
A_JCVI_3784	1	269
A_JCVI_26255	1	270
A_JCVI_38571	1	271
A_JCVI_28655	1	272
A_EH424539	1	273
A_RC_EH424539	1	274
A_CD826637	1	275
A_EX056360	1	276
A_JCVI_14888	1	277
A_JCVI_17660	1	278
A_JCVI_3453	1	279
A_ES959985	1	280
A_JCVI_14480	1	281
A_EE531427	1	282
A_JCVI_16992	1	283
A_EV192211	1	284
A_JCVI_8537	1	285
A_JCVI_12421	1	286
A_JCVI_23367	1	287
A_JCVI_17418	1	288
A_JCVI_1789	1	289
A_JCVI_17753	1	290
A_JCVI_35552	1	291
A_EV091771	1	292
A_EX083742	1	293
A_ES911522	1	294
A_EV139012	1	295
A_EV200302	1	296
A_JCVI_1427	1	297
A_JCVI_28402	1	298
A_EV200392	1	299
A_EV119178	1	300
A_EE457286	1	301
A_JCVI_14421	1	302
A_EE527736	1	303
A_EX132805	1	304
A_JCVI_6097	1	305
A_EV101393	1	306
A_JCVI_40349	1	307
A_EE473179	1	308
A_JCVI_9195	1	309
A_JCVI_6498	1	310
A_JCVI_17967	1	311
A_JCVI_1235	1	312
A_EV122117	1	313
A_BG543369	1	314
A_EV007064	1	315
A_JCVI_442	1	316
A_JCVI_6352	1	317
A_JCVI_31579	1	318
A_EE451074	1	319
A_JCVI_26201	1	320
A_JCVI_32612	1	321
A_JCVI_7614	1	322
A_JCVI_39043	1	323
A_JCVI_24309	1	324
A_JCVI_20167	1	325
A_JCVI_10117	1	326
A_JCVI_15179	1	327
A_JCVI_22138	1	328
A_JCVI_4564	1	329
A_JCVI_19400	1	330
A_JCVI_23659	1	331
A_JCVI_29136	1	332
A_EX083547	1	333
A_JCVI_22090	1	334
A_ES968015	1	335
A_EV009984	1	336
A_DY024321	1	337
A_JCVI_29466	1	338
A_DY015804	1	339
A_JCVI_8041	1	340
A_AM389354	1	341
A_EV042039	1	342
A_JCVI_4318	1	343
A_JCVI_9790	1	344
A_EV027943	1	345
A_EV100786	1	346
A_JCVI_9861	1	347
A_EG019853	1	348
A_ES990678	1	349
A_JCVI_11847	1	350
A_JCVI_16862	1	351
A_JCVI_31050	1	352
A_EE567625	1	353
A_JCVI_19576	1	354
A_EE532047	1	355
A_JCVI_8950	1	356
A_EV065943	1	357
A_JCVI_14989	1	358
A_JCVI_6533	1	359
A_EV091519	1	360
A_JCVI_25688	1	361
A_CN827392	1	362
A_JCVI_20191	1	363
A_JCVI_3998	1	364
A_EV037870	1	365
A_JCVI_17292	1	366
A_JCVI_40249	1	367
A_EV184938	1	368
A_EV046900	1	369
A_JCVI_33047	1	370
A_JCVI_14016	1	371
A_JCVI_5015	1	372
A_JCVI_36433	1	373
A_ES909518	1	374
A_JCVI_31713	1	375
A_JCVI_19501	1	376
A_JCVI_29377	1	377
A_JCVI_33103	1	378
A_EE553746	1	379
A_EV103225	1	380
A_JCVI_33422	1	381
A_JCVI_12749	1	382
A_JCVI_8769	1	383
A_EX046134	1	384
A_EV145241	1	385
A_ES960184	1	386
A_JCVI_41822	1	387
A_DY022034	1	388
A_EX090893	1	389
A_JCVI_7352	1	390
A_ES907983	1	391
A_JCVI_38140	1	392
A_DY030728	1	393
A_EV208510	1	394
A_JCVI_36075	1	395
A_JCVI_11784	1	396
A_JCVI_40419	1	397
A_EE563602	1	398
A_JCVI_5517	1	399
A_EX084329	1	400
A_EE562441	1	401
A_JCVI_29401	1	402
A_ES906938	1	403
A_AM395179	1	404
A_JCVI_30644	1	405
A_JCVI_210	1	406
A_EV096570	1	407
A_JCVI_1340	1	408
A_JCVI_3669	1	409
A_JCVI_32280	1	410
A_CX188762	1	411
A_EV089109	1	412
A_EE557206	1	413
A_ES904092	1	414
A_JCVI_28986	1	415
A_JCVI_10293	1	416
A_JCVI_9168	1	417
A_JCVI_40456	1	418
A_JCVI_31419	1	419
A_JCVI_15449	1	420
A_ES264144	1	421
A_EE568662	1	422
A_JCVI_25007	1	423
A_JCVI_532	1	424
A_JCVI_7124	1	425
A_JCVI_857	1	426
A_JCVI_9500	1	427
A_EV051281	1	428
A_JCVI_14541	1	429
A_CV432464	1	430
A_JCVI_29572	1	431
